dp_no;libelle;articles;articles_avec_stock
2;BF-A01;11;10
3;S3-B5-2;3;3
4;S3-B2-3;17;16
6;S1-A15-4;24;0
7;R00;26;6
8;S3-B4-2;5;4
9;L02-A001;11;0
10;S3-B4-3;29;25
11;S3-B5-3;4;3
12;BOUTIQUE;394;310
13;S4-A2-2;9;9
14;M1-A17-2;12;4
15;L03-C001;54;35
16;S4-A5-4;5;3
17;S4-A5-2;17;10
18;M1-A15-3;5;1
19;blibli;1;0
20;S2-B5-1;16;10
21;S2-B3-1;10;5
22;B- BOUTIQUE;96;44
23;S2-A5-3;17;15
24;M1-A11-4;1;1
25;L02-A002;14;4
26;M1-A4-1;0;0
27;S2-B4-3;17;16
28;S2-B3-3;25;13
29;B-BOUTIQUE;122;50
30;M1;55;3
31;S4-B5-3;15;13
32;S3-B3-3;10;7
33;L02-C002;20;3
34;M1-A22-3;15;6
35;S2-B2-2;9;4
36;R03-B3;3;0
37;L TIROIR 11;12;6
38;S1 A14 2;1;0
39;L TIROIR 3;7;4
40;S01-B2-3;0;0
41;S2-B6-1;0;0
42;S2-B6-4;1;1
43;R06-5;3;1
44;M1-A11-5;0;0
45;BF-B03;15;9
46;L TIROIR 13;15;5
47;L01-B002-7;0;0
48;L03-B001;1;0
49;S4-A4-5;0;0
50;S5-A2-2;5;4
51;M1-A4-2;4;1
52;L01-B001-3;1;1
53;L01-B002-5;1;0
54;L01-B002-6;0;0
55;S01-B2-2;0;0
56;S01-B2;0;0
57;S01-B6;13;0
58;S2-A6-2;4;2
59;S2-A6-3;12;6
60;S2-A5-1;0;0
61;S02-B4;6;0
62;S2-B4-1;19;17
63;S2-B1-3;9;5
64;BF-B01;25;22
65;S5-A1-2;0;0
66;R02-4;10;7
67;S4-A4-2;12;11
68;BF-B001;25;1
69;S4-A2-4;7;5
70;S2-B2-1;10;5
71;S5-A1-1;0;0
72;L06-A002-3;6;1
73;L05-B002;11;1
74;S4-A4-3;6;5
75;M1-A11-3;3;1
76;L04-C002-1;54;19
77;BF-A02;2;1
78;S4-A4-4;7;3
79;M1-A22-4;6;1
80;S2-B1-2;7;4
81;R06-3;8;6
82;S02-B2-2;0;0
83;L03-C002-1;5;0
84;M1-A3-1;5;1
85;L TIROIR 8;3;1
86;S2-A6-4;3;2
87;L05-B001-4;18;0
88;R04-B3;17;1
89;M1-A4-4;2;1
90;L03-C002;1;0
91;M1-A24-3;58;28
92;R06-1;6;4
93;L01-B001-5;1;0
94;M1-A24-2;21;10
95;L04-C001-3;9;7
96;BC-A09;4;0
97;S5-A4-3;2;2
98;M1-A5-3;4;1
99;R01-2;6;2
100;M1-A23-2;5;3
101;S1 A 3 2;1;0
102;L03-A002;15;1
103;R06-2;16;14
104;L01-B001-6;0;0
105;S1 A 5 1;4;0
106;S4-B1-3;13;5
107;R06-4;9;6
108;M1- VRAC;0;0
109;S1-A16-1;0;0
110;BC-A01;2;1
111;M1-A22-5;15;3
112;S2-B3-4;12;6
113;S01-B4;9;0
114;B BOUTIQUE;4;1
115;L04-A002;127;62
116;L03-B002;0;0
117;M1-A2-1;3;1
118;M1-A12-2;3;3
119;M1-A12-3;6;3
120;M1-A23-4;6;2
121;M1-A23-3;6;2
122;S2-B2-4;4;3
123;L TIROIR 2;7;4
124;L TIROIR 6;13;7
125;M1-A5-2;3;0
126;M1-A5-5;4;1
127;S02-A6;5;0
128;M1-A12-1;2;1
129;R04-B1;7;2
130;R03-B2;1;0
131;S5 A5 5;0;0
132;S01-B6-1;1;0
133;S2-A1-1;1;1
134;S2-A2-3;1;1
135;M1-A5-4;9;2
136;BUREAU C.L;13;13
137;S01-B3;3;0
138;M1-A19-4;8;4
139;S01-B6-5;0;0
140;S2-B2-3;3;2
141;L06-B002;1;0
142;R04-3;34;3
143;R04-4;0;0
144;M1-A18-4;4;3
145;STOCK SECURISE;9;7
146;M1-A10-5;3;3
147;S1 A 7 1;4;0
148;M1-A20-1;3;0
149;R04-B2;0;0
150;M1-A21-2;10;5
151;M1-A21-1;2;0
152;M1-A22-1;4;0
153;L02-C001;32;1
154;S02-A5;1;0
155;S1 A 6 2;4;0
156;S4-A4-1;0;0
157;S.A.V.;10;3
158;S.A.V;12;4
159;S1 A 1 2;5;0
160;S1-A8-1;12;5
161;S1 A 3 1;6;0
162;S1 A 5 3;2;0
163;S1 A 4 1;3;0
164;S1 A 4 4;1;0
165;S1 A 5 2;2;0
166;S1 A 10 2;6;0
167;S02-B5-2;0;0
168;S2-B5-3;21;17
169;S2-B6-2;4;4
170;S2-B6-3;5;2
171;BT-A02;0;0
172;S3-B1-2;14;12
173;BT-A01;0;0
174;S- ESCALIER;8;8
175;BT-B02;0;0
176;S3-B2-5;0;0
177;S1-A16-4;11;4
178;S3-B3-2;9;4
179;M1-A6-3;4;0
180;L1-;1;0
181;S1 A 4 3;3;0
182;S1 A 4 2;3;0
183;S1 A 3 3;4;0
184;S1-A10-2;7;2
185;STOCKAGE AIRBUS;1;1
186;S4-A1-2;13;3
187;BC-C01;13;8
188;S4-A1-3;16;6
189;BC-A04;0;0
190;S01-B004;2;0
191;S02-B003;2;0
192;R01-4;2;2
193;S2-B4-2;2;1
194;S3-B2-2;22;19
195;M1-A3-2;4;0
196;L04-C001-6;12;6
197;S4-B1-2;12;7
198;S3-A2-3;1;0
199;M1-A13-1;2;1
200;S1 A 9 3;2;0
201;R02-3;4;4
202;S5-A3-3;0;0
203;S5-A3-4;1;1
204;S5-A3-2;0;0
205;L TIROIR 12;11;7
206;S1-A10-1;6;4
207;S4-A2-3;5;4
208;BC-C03;61;28
209;M1-A21-4;7;2
210;S005-A04;3;0
211;S5-A2-4;0;0
212;S005-A03;3;0
213;S5-A4-5;0;0
214;L TIROIR 7;8;6
215;L TIROIR 5;6;3
216;L TIROIR 4;9;5
217;L TIROIR 10;8;5
218;L ROULEAU;1;0
219;S01-B6-2;0;0
220;L TIROIR 14;12;6
221;L TIROIR 1;9;6
222;L TIROIR C;6;4
223;BC-A02;3;2
224;S1 A 12 3;5;2
225;S1 A 12 2;3;0
226;S1 A13 1;5;1
227;S1 A12 1;3;0
228;S1 A 10 1;1;0
229;S1 A12 2;9;1
230;L05-C002;5;1
231;S4-B1-1;8;2
232;S1 A 6 3;0;0
233;S2-A4-1;5;3
234;S1-A3-1;11;7
235;S1-A4-1;10;4
236;S1-A8-4;13;6
237;S000-A03;1;0
238;S5-A1-5;2;1
239;M-M2;55;3
240;S1-A6-5;12;5
241;S1-A6-4;15;6
242;S1-A7-4;8;3
243;S1-A7-1;8;6
244;S1-A7-2;7;2
245;S1 A 9 2;1;0
246;S1-A3-4;6;4
247;S1-A1-2;0;0
248;S1-A6-3;11;2
249;S1-A8-3;21;9
250;S1 A 8 1;3;0
251;S1-A4-2;8;5
252;S1 A 8 2;2;0
253;S1-A9-4;7;5
254;M1-A10-1;2;0
255;M1-A10-3;4;3
256;S1-A5-1;6;4
257;S1 A 10 3;4;0
258;S1-A5-2;14;6
259;R03-B4;1;0
260;M1-A10-2;1;0
261;BC-D01;12;2
262;S1-A2-1;8;6
263;L01-B002;1;0
264;M1-A11-2;3;3
265;BC-D02;2;1
266;M1-A11-1;0;0
267;S1-B4-3;1;1
268;L01-A002;1;0
269;S1-A10-4;8;3
270;S1-A5-3;3;3
271;S1-A1-1;7;6
272;S01-B5;5;0
273;S2-A5-2;3;1
274;L TIROIR G;10;7
275;BC-A06;3;1
276;BC-A03;6;3
277;M1-A20-3;8;5
278;BC-B01;71;1
279;S1 A 9 1;0;0
280;S1 A 11 4;1;0
281;S-VRAC;1;1
282;M1-A15;7;7
283;S4-B4-3;10;5
284;L06-A004;0;0
285;S4 B 4 2;1;0
286;S4-B4-2;5;4
287;S1-A5-;1;0
288;S1 A 2 3;1;0
289;S1-A8-2;14;5
290;S1-A1-3;8;6
291;S1-A5-4;7;3
292;S1 A 2 2;1;0
293;S1 A 7 3;2;0
294;M1-A13-2;7;7
295;M1-A20-2;9;5
296;M1-A19-5;11;5
297;S1 A 1 1;1;0
298;S1 A12 3;2;0
299;S1 A 13 1;0;0
300;S1-A6-2;5;5
301;BT-A03;0;0
302;S3-B1-4;1;1
303;S3-B1-5;0;0
304;M-M1;16;1
305;S2-B5-2;7;6
306;S2-B5-4;9;7
307;S3-B2-1;6;5
308;S1-A17-1;0;0
309;BT-C03;0;0
310;BG-C01;0;0
311;S3-B1-3;18;14
312;S4-A3-4;6;4
313;M2-VRAC;1;1
314;S4-A3-2;8;6
315;S3-B2-4;0;0
316;S3-A1-2;0;0
317;DERRIERE S3-A2;0;0
318;DERRIERE S3-A2;0;0
319;DERRIERE S3-A2;0;0
320;DERRIERE S3-A2;0;0
321;S3-A1-3;3;2
322;DERRIERE S3-A2;0;0
323;DERRIERE S3-A2;0;0
324;DERRIERE S3-A2;0;0
325;DERRIERE S3-A2;0;0
326;S4-B4-4;10;5
327;S1-A3-3;6;5
328;R02-2;13;7
329;S1-A7-3;15;7
330;L TIROIR A;7;7
331;L TIROIR B;9;5
332;L TIROIR I;0;0
333;BC-D03;6;3
334;M1-VRAC;8;0
335;M1-A18-2;6;3
336;S1-B4-2;6;6
337;M1-A22-2;7;4
338;M1-A21-5;3;1
339;L TIROIR F;2;2
340;L2 - A001;0;0
341;R02-1;5;3
342;L06-B001;1;0
343;L06-B03;0;0
345;;1;0
346;S4-A1-4;5;1
347;BT-B01;0;0
348;S3-B1-1;0;0
349;L TIROIR 9;10;8
350;S4-B3-1;2;0
351;BF-A03;6;5
352;M1-A20-4;7;4
353;M1-A20-5;6;2
354;M1-A8-1;5;3
355;S1-B5-4;10;3
356;M1-A16-4;0;0
357;L1-3;0;0
358;M1-A18-3;3;1
359;BG-A01;0;0
360;M1-A16;6;0
361;S5-A3-5;1;1
362;S1-A6-1;10;6
363;M1-CENTRE;1;0
364;S1 A 2 4;0;0
365;S1 A 9 4;1;0
366;SUR COMMANDE;1;0
367;M1-A19-2;14;8
368;S5-A1-4;0;0
369;S4-A1-1;1;1
370;S4 A 1 3;0;0
371;BG-A02;1;0
372;BG-A03;2;0
373;BG-B01;3;3
374;BG-B02;0;0
375;BG-B03;3;3
376;BG-C02;1;0
377;R01-1;5;4
378;BF-B02;7;7
379;ESCALIER S1;1;0
380;B;0;0
381;L1-5;0;0
382;M-A7-2;0;0
383;L TIROIR H;10;8
384;L TIROIR D;12;6
385;L TIROIR E;8;1
386;S1-A18-4;0;0
387;S1-A18-1;0;0
388;S1-A18-2;0;0
389;S1-A17-3;2;1
390;S1-B1-2;11;8
391;S1-A18-3;0;0
392;BC-A05;3;3
393;L1-1;0;0
394;BG-A04;2;2
395;BG-B04;2;0
396;BG-C03;1;0
397;M;2;0
398;S1-A4-3;11;3
399;S1-A3-2;6;4
400;M1-A12-4;7;2
401;M1-A9-3;2;2
402;M-A7-4;0;0
403;M-A9-3;1;1
404;M-A6-2;1;0
405;S1 A 13 4;0;0
406;M-A6-3;0;0
407;S1-A9-3;7;5
408;B EXPOSITION;3;1
409;S4 A 1 4;1;0
410;M1-A12-5;1;0
411;S01-B3-4;0;0
412;S01-B2-4;0;0
413;S1-B3-2;10;8
414;S2-B7;10;1
415;S3-A2-1;2;0
416;M-A10-4;0;0
417;M1-A23-1;8;5
418;M1-A14-4;3;0
419;M1-A18-1;4;2
420;L06-C002;1;0
421;R05-B2;15;3
422;R05-B3;10;0
423;S1-B5-2;13;8
424;L  TIROIR I;2;1
425;L-TIROIR I;6;5
426;S1-A15-2;19;0
427;S1-A15-3;17;0
428;S1 A13 3;8;0
429;S1 A14 3;2;0
430;S1 A 13;0;0
431;S1 A 6 1;1;0
432;S01 A14 3;3;0
433;L06-A005;1;1
434;S1 - B4 - 1;3;1
435;L06-C004;1;0
436;S4-B2-3;8;4
437;L05-B001;1;1
438;M1-A16-2;4;2
439;M1-A16-3;5;3
440;S1-A16-2;5;0
441;S4-B3-3;8;3
442;S4-B2-2;12;7
443;L2-A001;0;0
444;S1-A4-4;5;3
445;S1-A2-2;7;2
446;S4-A5-3;13;6
447;L06-A006;1;1
448;S1-A16-3;1;0
449;S1-B4-1;3;1
450;R01-3;2;1
451;BF-A01-1;2;2
452;R-R01-4;0;0
453;S1-A17-4;0;0
454;S4-B5-2;25;16
455;S1-A2-3;9;6
456;BUREAU DU FOND;1;0
457;S4-A2-1;2;0
458;S5-A2-5;0;0
459;stock f.f.a. etage;4;0
460;STOCK F.F.A A L ETAGE;1;0
461;stock f.f.a. a l etage;1;0
462;stock f.f.a. a l etage;1;0
463;stock f.f.a. a l étage;1;0
464;STOCK F.F.A. A L ETAGE;3;0
465;S1-A10-3;6;4
466;S1-B6-3;10;4
467;S1-A12-3;13;4
468;S1-A11-3;18;5
469;R03-1;9;4
470;R03-3;5;3
471;M1-AU MILIEU;1;0
472;Mezzanine;50;45
473;L03 - B03;1;0
474;S1 A10 1;2;1
475;BC-A07;2;1
476;S1 A5 1;2;2
477;M1-A13-4;7;3
478;L TIROIR J;8;6
479;BC-C02;12;12
480;S1 - A1 - 1;0;0
481;S1 A9 3;0;0
482;S1-A9-2;22;10
483;S1 A10 3;1;1
484;M1A24-3;3;1
485;M1-A17-;1;1
486;M1-A17-3;16;4
487;M1-A17-4;9;2
488;S01-B002;0;0
489;S01-B1;0;0
490;L-TIROIR 8;4;2
491;S2-A6-1;1;0
492;L TIROIR 15;11;5
493;M1-A4-3;3;1
494;L01-B002-4;0;0
495;L01-B002-3;2;1
496;L01-B001-4;0;0
497;L01-B001-7;2;0
498;S06-4;0;0
499;S1 A13 2;17;0
500;S02-B1;2;0
501;L05-A002-3;1;1
502;S4-A5-1;1;1
503;M1-A5-1;2;1
504;S02-B002;4;0
505;L02 - B001;0;0
506;M1-A13-5;6;3
507;S4-B3-2;13;4
508;S3-B3-4;0;0
509;S1 A 5 4;1;0
510;S4-A5-5;6;3
511;L03-A001;1;0
512;;4;2
513;M1-A3-5;0;0
514;S02-B3;0;0
515;S1-A14-4;10;2
516;S1-A15-1;8;5
517;M1-A19-3;10;6
518;M1-A18-5;2;1
519;M1-A19-1;3;2
520;S0-B3-4;0;0
521;S4 - A2 - 1;0;0
522;M1-A15-2;3;2
523;STOCK SECURISE;23;11
524;M1-A15-1;1;1
525;M1-A14-2;5;3
526;L02-A002-4;1;0
527;S1 A 12  2;2;1
528;S1 A 14 1;0;0
529;S1 A11 3;1;0
530;S1 A 12;1;0
531;S1 A 10 4;2;0
532;S1 A14 1;0;0
533;M1-A14-3;2;1
534;M1-A15-4;2;2
535;BL-B01;1;0
